0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
118.0,-55.0,-0.28,-0.08,-0.2,-11.0,11.0,0.005,-0.2,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.031
390.0,-45.0,-0.06,-0.07,-0.6,-12.0,11.0,0.01,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.034
68.0,6.0,0.11,0.15,0.6,-10.0,-9.0,-0.003,-0.2,-0.0011,-0.001,-0.001,-0.001,-0.0002,0.0,0.0,0.0,-0.001,0.033
-358.0,-12.0,-0.2,0.13,-0.3,-11.0,-7.0,0.001,-0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.032
-411.0,-19.0,-0.18,0.02,-0.5,-11.0,-3.0,0.002,1.2,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.03
-374.0,-29.0,-0.14,0.03,-0.8,-12.0,5.0,0.003,-0.3,-0.0008,-0.001,-0.001,-0.001,0.0001,0.0,0.0,0.0,-0.001,0.027999999999999997
-11.0,-43.0,0.34,-0.05,-0.4,-11.0,9.0,0.01,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,0.028999999999999998
224.0,5.0,-0.35,0.06,-1.2,-12.0,1.0,0.01,0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.03
-120.0,13.0,0.29,0.15,-1.4,-12.0,-9.0,0.008,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.028999999999999998
-335.0,-3.0,0.27,0.13,-0.1,-11.0,-8.0,-0.009000000000000001,-0.2,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.027000000000000003
-237.0,-32.0,-0.15,0.03,0.3,-11.0,2.0,-0.006999999999999999,-0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.026000000000000002
-104.0,-60.0,0.3,0.09,0.8,-10.0,-4.0,-0.006999999999999999,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,-0.0002,0.0,-0.0009,0.027000000000000003
-165.0,-63.0,0.16,0.1,1.0,-10.0,-7.0,-0.013999999999999999,-0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.024
108.0,-70.0,-0.4,0.01,-0.6,-11.0,6.0,0.003,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0001,0.0,-0.0008,0.025
51.0,-52.0,0.18,0.1,-1.5,-12.0,-4.0,0.004,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.026000000000000002
-43.0,-52.0,0.19,0.18,-1.2,-12.0,-13.0,-0.005,-0.3,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.025
-368.0,-71.0,0.03,0.12,-0.8,-12.0,-7.0,-0.002,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.02
58.0,-85.0,0.13,-0.11,-0.5,-11.0,17.0,0.003,-0.3,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,0.022000000000000002
376.0,-73.0,0.01,-0.04,-0.3,-11.0,8.0,-0.006,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.023
501.0,-41.0,-0.19,0.04,-0.7,-12.0,1.0,-0.005,-0.1,-0.0008,-0.0008,-0.0008,-0.0009,0.0,0.0,0.0001,0.0,-0.0009,0.022000000000000002
556.0,-25.0,-0.08,0.03,-0.9,-12.0,4.0,0.009000000000000001,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.025
-131.0,12.0,0.06,0.19,0.1,-11.0,-15.0,-0.01,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.023
-275.0,2.0,-0.13,0.07,0.0,-11.0,-4.0,-0.008,0.2,-0.0008,-0.0008,-0.0008,-0.0009,0.0,0.0,0.0001,0.0,-0.0009,0.022000000000000002
-130.0,-15.0,-0.2,0.02,-0.9,-12.0,4.0,-0.001,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.02
199.0,-14.0,0.04,-0.04,-1.2,-12.0,10.0,0.006999999999999999,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.022000000000000002
93.0,7.0,0.25,0.09,0.0,-11.0,-5.0,0.001,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,0.023
-31.0,9.0,0.13,0.11,0.4,-11.0,-7.0,-0.008,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.02
-26.0,7.0,0.03,0.02,0.6,-10.0,8.0,-0.006999999999999999,-0.9,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.023
-128.0,5.0,-0.17,0.13,0.4,-11.0,-9.0,-0.01,-0.4,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0.0,0.0,0.0,-0.0009,0.021
-194.0,3.0,-0.17,-0.04,0.2,-11.0,-2.0,0.005,2.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.02
102.0,-3.0,0.16,-0.03,0.2,-11.0,7.0,0.006999999999999999,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.021
146.0,2.0,0.25,0.03,0.5,-10.0,-1.0,0.005,0.5,-0.0006,-0.0006,-0.0006,-0.0006,-0.0002,0.0,0.0,0.0,-0.0006,0.023
-234.0,1.0,-0.12,0.13,1.0,-10.0,-11.0,-0.009000000000000001,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.022000000000000002
-323.0,-7.0,-0.22,0.09,0.7,-10.0,-3.0,-0.006999999999999999,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.02
-328.0,-15.0,-0.3,0.03,0.4,-11.0,4.0,-0.005,-0.3,-0.0006,-0.0007,-0.0007,-0.0008,0.0001,0.0,0.0001,0.0,-0.0008,0.018000000000000002
200.0,-21.0,0.08,-0.12,-0.2,-11.0,17.0,0.011000000000000001,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.02
384.0,-10.0,0.27,-0.02,0.3,-11.0,6.0,0.008,0.5,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.022000000000000002
318.0,3.0,0.34,0.1,0.8,-10.0,-10.0,0.002,1.0,-0.0008,-0.0006,-0.0006,-0.0006,-0.0002,0.0,-0.0002,0.0,-0.0006,0.023
-332.0,3.0,-0.21,0.16,1.2,-10.0,-14.0,-0.01,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.02
-427.0,-19.0,-0.36,0.05,0.3,-11.0,1.0,-0.002,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0.0,0.0,0.0,-0.0007,0.019
139.0,-39.0,0.23,-0.03,-0.5,-11.0,8.0,0.008,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.02
-113.0,-34.0,0.32,0.07,-0.8,-12.0,-2.0,0.005,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.019
-54.0,-38.0,0.39,0.01,0.1,-11.0,4.0,0.002,0.1,-0.0007,-0.0006,-0.0006,-0.0006,-0.0002,0.0,0.0,0.0,-0.0006,0.02
-72.0,-39.0,0.29,0.07,0.6,-10.0,-8.0,-0.011000000000000001,0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.019
-81.0,-42.0,0.16,0.04,0.9,-10.0,1.0,-0.006999999999999999,-0.5,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.02
-83.0,-46.0,-0.23,0.04,0.9,-10.0,-1.0,-0.012,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.018000000000000002
-27.0,-48.0,-0.38,0.01,0.4,-11.0,6.0,-0.009000000000000001,-0.7,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.019
294.0,-17.0,0.3,0.04,-0.2,-11.0,1.0,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.02
146.0,-6.0,0.18,0.11,0.6,-10.0,-9.0,-0.006999999999999999,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.021
-182.0,-6.0,-0.33,0.14,0.4,-11.0,-11.0,-0.016,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0.0,0.0,0.0,-0.0009,0.018000000000000002
-259.0,-10.0,-0.43,-0.05,0.0,-11.0,-2.0,-0.008,2.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0001,0.0,0.0,0.0,-0.0008,0.017
-88.0,-16.0,-0.38,-0.05,-0.8,-12.0,11.0,0.006,-0.4,-0.0006,-0.0006,-0.0006,-0.0007,0.0,0.0,0.0001,0.0,-0.0007,0.016
330.0,-11.0,-0.09,-0.13,-1.4,-12.0,19.0,0.012,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.018000000000000002
509.0,-3.0,0.06,0.04,-1.4,-12.0,5.0,0.011000000000000001,-1.9,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.019
550.0,13.0,0.22,0.04,-1.2,-12.0,-1.0,0.009000000000000001,0.5,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.02
188.0,50.0,0.24,0.13,0.7,-10.0,-11.0,-0.008,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,0.021
14.0,52.0,0.03,0.14,0.9,-10.0,-12.0,-0.015,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.02
-263.0,40.0,-0.51,0.09,-0.6,-11.0,-5.0,-0.006999999999999999,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.018000000000000002
275.0,36.0,0.49,0.01,-0.6,-11.0,5.0,0.002,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.019
-275.0,14.0,0.21,0.09,-0.3,-11.0,-4.0,-0.008,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.018000000000000002
